update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,741.1903030516391,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9392400532960892,0.10918048955500126,0.017764301039278507,0.002129290616721846,0.126398288125406,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,906.7005992713829,5,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595,249.375,2.4206145913796355,240.0,250.0,1.934092402458191,0.062001366168260574,0.02130678854882717,0.0003372621904418338,0.019306081159861845,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,871.1962174988852,7,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595,249.375,2.4206145913796355,240.0,250.0,1.9429277777671814,0.05064320005476475,0.009556456468999386,2.385860966569453e-05,0.0055531422414031115,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,842.4020971754994,9,0.04894999973475933,0.12953454093875894,0.0,0.39879998564720154,239.875,26.79756285560312,167.0,250.0,1.9338216185569763,0.0451060775667429,0.008175413764547557,0.0009434355051780585,0.012419233709683213,0.04894999973475933,0.12953454093875894,0.0,0.39879998564720154
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,881.4103691177723,12,0.04894999973475933,0.12953454093875894,0.0,0.39879998564720154,239.875,26.79756285560312,167.0,250.0,1.942307099699974,0.03711672406643629,0.006533189094625413,2.596055799131136e-05,0.0054285735149536985,0.04894999973475933,0.12953454093875894,0.0,0.39879998564720154
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,877.2358416988808,14,0.0549749992787838,0.12417745048185463,0.0,0.4456000030040741,239.9375,24.860784254524233,154.0,250.0,1.9388777315616608,0.03490685555152595,0.004266394680598751,0.0007016942327027209,0.015164297954731499,0.0549749992787838,0.12417745048185463,0.0,0.4456000030040741
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,864.9503724148209,16,0.05249999836087227,0.11652608791927166,0.0,0.4059999883174896,240.625,22.51631353041612,165.0,250.0,1.9418513923883438,0.025129422545433044,0.0005129457458679099,0.0005101705028209835,0.01730064217331842,0.05249999836087227,0.11652608791927166,0.0,0.4059999883174896
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,859.1775809555987,19,0.04309999942779541,0.1160665737670721,0.0,0.4059999883174896,241.5,23.27820869396956,165.0,250.0,1.9335223585367203,0.02516165398992598,0.005238365425611846,0.00038200643211894203,0.009254277310394365,0.04309999942779541,0.1160665737670721,0.0,0.4059999883174896
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,801.4184367202088,21,0.07320000045001507,0.1559524937513865,0.0,0.46000000834465027,234.875,32.80791634651612,150.0,250.0,1.934670940041542,0.026508550625294447,-0.0035748490699916147,0.0011512228520587087,0.019558959010503474,0.07320000045001507,0.1559524937513865,0.0,0.46000000834465027
